Aluno,Idade,Matemática,Ciências
1,17,67,60
2,15,83,78
3,17,70,61
4,17,76,85
5,15,67,91
6,15,94,65
7,17,94,91
8,16,92,63
9,17,64,70
10,17,98,76
11,17,100,97
12,17,87,83
13,15,66,64
14,17,68,93
15,16,67,65
16,15,71,81
17,16,93,70
18,16,92,75
19,16,82,92
20,16,83,68
21,15,96,65
22,15,94,75
23,16,99,88
24,16,81,62
25,15,86,79
26,15,94,95
27,15,60,78
28,17,94,85
29,17,96,62
30,17,73,78
31,16,62,79
32,17,60,91
33,16,64,66
34,16,85,100
35,17,73,92
36,16,98,99
37,17,86,98
38,17,68,77
39,15,74,99
40,17,74,60
41,15,85,70
42,17,72,87
43,17,91,84
44,15,98,82
45,15,91,90
46,17,63,89
47,16,89,94
48,15,96,66
49,16,82,75
50,16,98,85
51,16,74,61
52,15,88,60
53,16,95,71
54,15,72,64
55,16,91,96
56,17,66,91
57,17,81,68
58,15,87,100
59,17,61,94
60,17,65,78
61,16,87,75
62,15,87,62
63,16,79,79
64,16,89,83
65,16,70,92
66,16,87,83
67,16,84,70
68,16,98,67
69,16,92,95
70,15,60,97
71,17,86,99
72,16,72,79
73,16,100,94
74,16,62,84
75,16,98,94
76,16,65,84
77,16,67,88
78,17,86,77
79,17,68,77
80,16,96,61
81,17,92,94
82,15,83,75
83,16,74,100
84,15,91,95
85,15,91,92
86,16,83,63
87,17,100,92
88,15,71,73
89,16,98,80
90,15,61,79
91,15,62,67
92,15,96,66
93,15,76,62
94,17,61,76
95,15,61,92
96,15,87,71
97,15,82,81
98,17,96,81
99,15,91,89
100,15,92,97
