Grupo_A,Grupo_B
51,23
92,25
14,88
71,59
60,40
20,28
82,14
86,44
74,64
74,88
87,70
99,8
23,87
2,0
21,7
52,87
1,62
87,10
29,80
37,7
1,34
63,34
59,32
20,4
32,40
75,27
57,6
21,72
88,71
48,11
90,33
58,32
41,47
91,22
59,61
79,87
14,36
61,98
61,43
46,85
61,90
50,34
54,64
63,98
2,100
100,46
50,77
6,2
20,0
72,4
38,89
17,13
3,26
88,8
59,78
13,14
8,89
89,41
52,76
1,50
83,62
91,95
59,51
70,95
43,3
7,93
46,100
34,22
77,14
80,42
35,28
49,35
3,12
1,31
5,70
53,58
3,85
53,27
92,65
62,41
17,44
89,61
43,56
33,5
73,27
61,27
99,43
13,83
94,29
47,61
14,74
71,91
77,88
86,61
61,96
39,0
84,26
79,61
81,76
52,2
